name,playerId,firstName,lastName,birthDate,height,weight (lbs),highSchool,highSchoolState,homeTown,homeState,homeCountry,nationality,photoUrl,currentTeam,league,leagueType,ESPN Rank,Sam Vecenie Rank,Kevin O'Connor Rank,Kyle Boone Rank,Gary Parrish Rank,heightNoShoes,heightShoes,wingspan (in),reach,max vertical (in),noStepVertical,weight_y,bodyFat,handLength,handWidth,agility (s),sprint (s),shuttleLeft,shuttleRight,shuttle best (s)
Will Riley,161919,Will,Riley,2006-02-10,6 ft 8 in,195,The Phelps School,PA,Cambridge,ON,Canada,Canada,,Illinois,NCAA D-I,NCAA,20,39.0,21.0,17.0,26.0,80.25,81.5,80.75,104.0,32.0,27.5,186.0,,8.5,9.0,11.73,3.21,,,3.1
Asa Newell,171542,Asa,Newell,2005-10-05,6 ft 11 in,220,Montverde,FL,Destin,FL,USA,USA,https://www.draftexpress.com/blue/images/headshots/2/1009518_750.jpg,Georgia,NCAA D-I,NCAA,21,17.0,24.0,16.0,18.0,81.0,82.25,83.25,107.5,36.5,29.5,224.0,,9.25,10.0,10.95,3.26,,,2.82
Drake Powell,171436,Drake,Powell,2005-09-08,6 ft 6 in,193,Northwood HS,NC,Pittsboro,NC,USA,USA,https://www.draftexpress.com/blue/images/headshots/6/1009402_750.jpg,North Carolina,NCAA D-I,NCAA,22,,,24.0,,77.25,78.5,84.0,103.0,43.0,37.5,200.0,,8.75,10.0,10.71,3.07,,,2.87
Carter Bryant,169666,Carter,Bryant,2005-11-26,6 ft 8 in,220,Centennial HS,CA,Riverside,CA,USA,USA,,Arizona,NCAA D-I,NCAA,23,23.0,18.0,26.0,22.0,78.5,79.75,83.75,106.0,39.5,30.5,215.0,,8.5,9.5,11.25,3.07,,,3.17
Thomas Sorber,154835,Thomas,Sorber,2005-12-25,6 ft 10 in,255,Archbishop Ryan HS,PA,Lawrence,NJ,USA,USA,https://www.draftexpress.com/blue/images/headshots/5/1009452_750.jpg,Georgetown,NCAA D-I,NCAA,24,12.0,25.0,29.0,23.0,81.25,82.5,90.0,109.0,,,263.0,,8.5,9.0,,,,,
Adou Thiero,172132,Adou,Thiero,2004-05-08,6 ft 8 in,220,Quaker Valley HS,PA,Leetsdale,PA,USA,Mali,https://www.draftexpress.com/blue/images/headshots/2/1007639_750.jpg,Arkansas,NCAA D-I,NCAA,25,40.0,,25.0,,78.25,79.5,84.0,104.5,,,218.0,,9.0,10.25,,,,,
Alex Condon,159033,Alex,Condon,2004-07-25,6 ft 11 in,230,Lake Ginninderra,,Perth,,Australia,Australia,https://www.draftexpress.com/blue/images/headshots/3/1010420_750.jpg,Florida,NCAA D-I,NCAA,26,37.0,,27.0,,83.25,84.5,84.75,107.5,34.5,30.0,222.0,,9.25,9.75,11.57,3.27,,,2.88
Noah Penda,130696,Noah,Penda,2005-01-07,6 ft 8 in,245,,,Bondy,,France,France,,Le Mans,France - Pro A,Pro,27,26.0,,,,,,,,,,,,,,,,,,
Rasheer Fleming,161180,Rasheer,Fleming,2004-07-10,6 ft 9 in,240,Camden HS,NJ,Camden,NJ,USA,USA,https://www.draftexpress.com/blue/images/headshots/0/1009106_750.jpg,Saint Joseph's,NCAA D-I,NCAA,28,22.0,30.0,21.0,10.0,80.25,81.5,89.25,109.5,32.5,27.0,232.0,,9.5,9.5,10.95,3.24,,,2.8
Alex Karaban,144830,Alex,Karaban,2002-11-11,6 ft 8 in,219,IMG,FL,Southborough,MA,USA,USA,https://cdn.nba.com/headshots/nba/latest/1040x760/1642284.png,Connecticut,NCAA D-I,NCAA,29,31.0,,,,78.5,79.75,83.0,106.5,32.0,22.5,219.0,11.6,8.75,9.25,11.23,3.2,3.19,3.02,3.02
Jase Richardson,161742,Jase,Richardson,2005-10-16,6 ft 3 in,185,Christopher Columbus HS,FL,Denver,CO,USA,USA,https://www.draftexpress.com/blue/images/headshots/2/1009431_750.jpg,Michigan St,NCAA D-I,NCAA,30,10.0,12.0,8.0,14.0,72.5,73.75,78.0,98.5,38.0,30.5,178.0,,8.5,9.5,10.97,3.22,,,3.08
Ryan Kalkbrenner,124543,Ryan,Kalkbrenner,2002-01-17,7 ft 2 in,252,Trinity Catholic HS,MO,St. Louis,MO,USA,USA,https://cdn.nba.com/headshots/nba/latest/1040x760/1641750.png,Creighton,NCAA D-I,NCAA,31,29.0,29.0,30.0,30.0,85.0,86.25,90.0,112.0,33.0,29.0,257.0,,9.25,11.25,12.05,3.34,,,3.16
Michael Ruzic,141197,Michael,Ruzic,2006-10-04,6 ft 10 in,223,,,Besancon,,France,Croatia,https://www.draftexpress.com/blue/images/headshots/7/1010673_750.jpg,Joventut,Spain - ACB,Pro,32,57.0,,,,83.0,84.25,84.75,108.0,32.5,29.5,221.0,,9.0,9.25,11.4,3.11,,,3.03
Ian Jackson,159744,Ian,Jackson,2005-02-14,6 ft 4 in,190,Our Savior Lutheran,NY,Bronx,NY,USA,USA,https://www.draftexpress.com/blue/images/headshots/4/1007583_750.jpg,North Carolina,NCAA D-I,NCAA,33,,,,,74.75,76.5,80.0,100.75,,,188.0,10.9,8.63,10.19,,,,,
Sergio De Larrea,136466,Sergio,De Larrea,2005-12-04,6 ft 7 in,189,,,Valladolid,,Spain,Spain,https://www.draftexpress.com/blue/images/headshots/6/1010693_750.jpg,Valencia,Spain - ACB,Pro,34,35.0,,,,,79.0,80.5,104.25,30.5,22.0,189.0,,7.5,9.5,,,,,
Maxime Raynaud,123733,Maxime,Raynaud,2003-04-07,7 ft 1 in,235,Henri IV,,Paris,,France,France,https://www.draftexpress.com/blue/images/headshots/3/1008674_750.jpg,Stanford,NCAA D-I,NCAA,35,44.0,28.0,,27.0,84.25,85.5,85.25,110.0,31.5,28.0,237.0,,9.0,10.25,11.31,3.23,,,3.22
Alex Toohey,129665,Alex,Toohey,2004-05-05,6 ft 8 in,223,NBA Academy,,Canberra,,Australia,Australia,https://www.draftexpress.com/blue/images/headshots/5/1010414_750.jpg,Sydney,Australia - NBL,Pro,36,42.0,,,,79.75,81.0,82.75,104.5,31.5,26.5,223.0,,9.0,10.25,11.38,3.2,,,3.01
Boogie Fland,159898,Boogie,Fland,2006-07-10,6 ft 2 in,174,Archbishop Stepinac HS,NY,Bronx,NY,USA,USA,https://www.draftexpress.com/blue/images/headshots/8/1009419_750.jpg,Arkansas,NCAA D-I,NCAA,37,43.0,,,,74.0,75.25,78.0,98.0,,,172.0,,8.5,9.0,,,,,
Miles Byrd,155302,Miles,Byrd,2004-09-08,6 ft 7 in,190,Lincoln HS,CA,Stockton,CA,USA,USA,,San Diego St,NCAA D-I,NCAA,38,27.0,,,,76.75,78.0,82.0,102.5,35.5,31.5,182.0,,8.75,9.25,10.91,3.22,,,2.92
Chaz Lanier,157395,Chaz,Lanier,2001-12-19,6 ft 5 in,196,Ensworth School,TN,Nashville,TN,USA,USA,,Tennessee,NCAA D-I,NCAA,39,48.0,,,,75.75,77.0,81.0,101.5,,,206.0,,8.5,9.75,,,,,
Tyrese Proctor,129693,Tyrese,Proctor,2004-04-01,6 ft 6 in,183,NBA Academy, ,Sydney,,Australia,Australia,https://www.draftexpress.com/blue/images/headshots/3/1007686_750.jpg,Duke,NCAA D-I,NCAA,40,38.0,,,,76.25,77.5,79.25,100.5,36.5,30.5,183.0,,8.25,9.0,10.75,3.19,,,3.05
Johni Broome,139482,Johni,Broome,2002-07-19,6 ft 10 in,247,Tampa Catholic HS,FL,Plant City,FL,USA,USA,https://cdn.nba.com/headshots/nba/latest/1040x760/1641780.png,Auburn,NCAA D-I,NCAA,41,32.0,,,28.0,81.25,82.5,84.25,108.5,28.0,24.5,249.0,,9.25,10.25,11.52,3.37,,,3.24
Dink Pate,164509,Dink,Pate,2006-03-10,6 ft 8 in,187,L. G. Pinkston HS,TX,Dallas,TX,USA,USA,https://cdn.nba.com/headshots/nba/latest/1040x760/1641825.png,Mexico City,NBA G-League,G-League,42,53.0,,,,78.25,79.5,81.75,104.0,32.5,24.5,201.0,,8.5,9.0,10.63,3.29,,,2.98
Darrion Williams,155317,Darrion,Williams,2003-04-23,6 ft 6 in,225,Bishop Gorman HS,NV,Las Vegas,NV,USA,USA,https://www.draftexpress.com/blue/images/headshots/7/1009485_750.jpg,Texas Tech,NCAA D-I,NCAA,43,,,,,76.5,77.75,78.0,101.0,30.0,24.0,236.0,,9.0,10.5,11.73,3.34,,,3.04
Eric Dixon,99451,Eric,Dixon,2001-01-26,6 ft 8 in,269,Abington HS,PA,Willow Grove,PA,USA,USA,https://www.draftexpress.com/blue/images/headshots/1/1006103_750.jpg,Villanova,NCAA D-I,NCAA,44,,,,,79.5,80.75,83.5,104.0,32.5,28.0,259.0,,8.75,10.0,11.56,3.41,,,3.14
Kam Jones,149244,Kam,Jones,2002-02-25,6 ft 4 in,205,Evangelical Christian School,TN,Cordova,TN,USA,USA,https://www.draftexpress.com/blue/images/headshots/4/1007057_750.jpg,Marquette,NCAA D-I,NCAA,45,34.0,,,,75.25,76.5,78.0,100.5,31.5,24.5,202.0,,8.25,8.5,11.42,3.27,,,3.18
Sion James,139181,Sion,James,2002-12-04,6 ft 6 in,220,Lanier HS,GA,Buford,GA,USA,USA,https://www.draftexpress.com/blue/images/headshots/1/1008786_750.jpg,Duke,NCAA D-I,NCAA,46,58.0,,,,76.5,77.75,78.5,100.5,39.5,32.0,218.0,,8.25,9.25,10.91,2.97,,,2.98
Johann Grunloh,148503,Johann,Grunloh,2005-08-14,6 ft 11 in,234,,,Loeningen,,Germany,Germany,https://www.draftexpress.com/blue/images/headshots/3/1010677_750.jpg,Vechta,Germany - ProA,Pro,47,51.0,,,,82.0,83.25,86.0,111.5,30.5,24.0,218.0,,,,,,,,
Joseph Tugler,170920,Joseph,Tugler,2005-05-16,6 ft 8 in,230,Cypress Falls HS,TX,Houston,TX,USA,USA,https://www.draftexpress.com/blue/images/headshots/0/1010309_750.jpg,Houston,NCAA D-I,NCAA,48,33.0,,,,77.5,79.0,90.0,108.5,,,223.0,,10.0,10.25,,,,,
Nique Clifford,144537,Nique,Clifford,2002-02-09,6 ft 6 in,199,The Vanguard School,CO,Colorado Springs,CO,USA,USA,https://www.draftexpress.com/blue/images/headshots/7/1007252_750.jpg,Colorado St,NCAA D-I,NCAA,49,15.0,14.0,18.0,15.0,77.25,78.5,80.0,102.5,35.5,31.0,202.0,,8.25,8.5,10.87,3.07,,,3.01
Isaiah Evans,161559,Isaiah,Evans,2005-12-06,6 ft 6 in,180,North Mecklenburg HS,NC,Huntersville,NC,USA,USA,,Duke,NCAA D-I,NCAA,50,,,,,76.75,78.0,81.25,104.0,,,180.0,,8.63,9.81,,,,,
Rocco Zikarsky,164825,Rocco,Zikarsky,2006-07-11,7 ft 3 in,227,NBA Academy,,Sunshine Coast,,Australia,Australia,https://www.draftexpress.com/blue/images/headshots/5/1010674_750.jpg,Brisbane,Australia - NBL,Pro,51,49.0,,,,87.0,88.25,88.75,114.5,31.5,27.5,257.0,,9.0,9.75,11.92,3.48,,,3.09
Bogoljub Markovic,159976,Bogoljub,Markovic,2005-07-12,7 ft 0 in,216,,,Uzice,,Serbia,Serbia,https://www.draftexpress.com/blue/images/headshots/6/1009176_750.jpg,Mega Superbet,Serbia - KLS,Pro,52,45.0,,,,83.0,84.25,83.0,108.0,29.5,18.3,216.0,,8.25,9.5,12.55,3.92,,,
Mouhamed Faye,172020,Mouhamed,Faye,2005-02-05,6 ft 11 in,228,,,Dakar,,Senegal,Senegal,,Reggio Emilia,Italy - Liga A,Pro,53,,,,,82.0,83.25,89.0,110.25,33.5,20.8,223.0,,,,,,,,
Cedric Coward,179629,Cedric,Coward,2003-09-11,6 ft 6 in,206,Central HS,CA,Fresno,CA,USA,USA,https://www.draftexpress.com/blue/images/headshots/9/1010505_750.jpg,Washington St,NCAA D-I,NCAA,54,47.0,,,,77.25,78.5,86.25,106.0,38.5,32.5,213.0,,9.25,10.0,10.97,3.06,,,3.08
Yaxel Lendeborg,193314,Yaxel,Lendeborg,2002-09-30,6 ft 9 in,230,Pennsauken HS,NJ,Pennsauken,NJ,Puerto Rico,Dominican Republic,,UAB,NCAA D-I,NCAA,55,28.0,,,,80.5,81.75,88.0,108.5,31.5,25.5,235.0,,9.25,10.0,11.68,3.32,,,3.13
Zvonimir Ivisic,118028,Zvonimir,Ivisic,2003-08-09,7 ft 2 in,220,, ,Vodice,,Croatia,Croatia,https://cdn.nba.com/headshots/nba/latest/1040x760/1631244.png,Arkansas,NCAA D-I,NCAA,56,,,,,85.5,86.75,87.0,112.25,30.75,24.25,228.2,8.2,9.75,10.5,12.2,3.36,,,
JT Toppin,164505,JT,Toppin,2005-06-14,6 ft 8 in,221,Waxahachie Faith Family Academy,TX,Dallas,TX,USA,USA,https://www.draftexpress.com/blue/images/headshots/5/1010340_750.jpg,Texas Tech,NCAA D-I,NCAA,57,,,,,79.0,80.25,84.5,106.0,34.0,28.5,221.0,7.0,9.25,9.25,11.12,3.27,3.01,3.1,3.01
Koby Brea,140078,Koby,Brea,2002-11-06,6 ft 7 in,215,Monsignor Scanlan HS,NY,Washington Heights,NY,USA,Dominican Republic,https://www.draftexpress.com/blue/images/headshots/8/1009118_750.jpg,Kentucky,NCAA D-I,NCAA,58,,,,,77.75,79.0,77.25,101.5,34.0,27.5,202.0,,8.5,9.25,11.4,3.31,,,3.25
Malique Lewis,167838,Malique,Lewis,2004-11-10,6 ft 8 in,209,,,San Fernando,,Trinidad and Tobago,Trinidad and Tobago,https://cdn.nba.com/headshots/nba/latest/1040x760/1641831.png,South East Melbourne,Australia - NBL,Pro,59,,,,,78.75,80.0,85.25,105.0,,,217.0,,10.25,9.5,,,,,
Hunter Sallis,142035,Hunter,Sallis,2003-03-26,6 ft 5 in,179,Millard North HS,NE,Omaha,NE,USA,USA,https://cdn.nba.com/headshots/nba/latest/1040x760/1642282.png,Wake Forest,NCAA D-I,NCAA,60,55.0,,,,75.75,77.0,82.0,100.5,37.5,31.0,181.0,,8.5,9.75,10.99,3.22,,,3.06
